image_id,product_id,image_url,sort_order
e87847bd-711a-5530-9635-49cbeedca7d6,49c1643c-4f7f-5c7c-aa36-01fcab9c8d49,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492878/product-image/gato/socolahatdieu/gato-socolahatdieu%281%29.png,0
4c02031b-dbfa-550a-b0ad-0ded64013210,49c1643c-4f7f-5c7c-aa36-01fcab9c8d49,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492879/product-image/gato/socolahatdieu/gato-socolahatdieu%282%29.png,1
416c4be1-2b6d-5c39-88b6-dca083612a69,ba0deb71-2819-5fe7-8b7c-04b6d693bab0,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492867/product-image/gato/matcha/gato-matcha%281%29.png,0
6d005219-f7e2-5c58-95f1-89be166595fe,ba0deb71-2819-5fe7-8b7c-04b6d693bab0,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492868/product-image/gato/matcha/gato-matcha%282%29.png,1
e7083973-bb8b-55b0-9b4b-8bf56490ad98,ba0deb71-2819-5fe7-8b7c-04b6d693bab0,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492869/product-image/gato/matcha/gato-matcha%283%29.png,2
60f776f7-89d1-5886-bc1f-f21205b7b67d,ba0deb71-2819-5fe7-8b7c-04b6d693bab0,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492870/product-image/gato/matcha/gato-matcha%284%29.jpg,3
ce110e11-7958-5a3e-a372-73831b8b7d13,6c9c16ac-84ee-5d24-b9b7-93a8cff0ac22,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492850/product-image/entremet/Entremet_s12_MidnightSalt.png,0
5836ddab-0eda-5d9d-9131-823a41e044ed,6c9c16ac-84ee-5d24-b9b7-93a8cff0ac22,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492858/product-image/entremet/Entremet_s16_v1_MidnightSalt.png,1
e7bca22d-ec74-5def-b578-d8d29fa75dd2,6c9c16ac-84ee-5d24-b9b7-93a8cff0ac22,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492859/product-image/entremet/Entremet_s16_v2_MidnightSalt.png,2
22086a3f-5a63-5be1-98f7-c0055bb2f485,fd824b97-76d8-5409-b3af-45924860887c,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492845/product-image/entremet/Entremet_s12_BerryBlush.png,0
962b8b16-3f3d-5796-8309-866eda5e7ef6,fd824b97-76d8-5409-b3af-45924860887c,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492854/product-image/entremet/Entremet_s16_BerryBlush.png,1
0287fe3d-c45e-5e1e-9c99-802685190fc5,7fd3ba97-c942-52ff-b97c-1481e8cd9ffe,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492848/product-image/entremet/Entremet_s12_GoldenTropic.png,0
e8c20cac-b7ba-5db2-9284-66337d01bfc6,7fd3ba97-c942-52ff-b97c-1481e8cd9ffe,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492856/product-image/entremet/Entremet_s16_GoldenTropic.png,1
814be432-3625-5350-b1c7-266aeba523e4,37d35a0e-3ac5-55c7-9eb5-347de3abda91,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492844/product-image/entremet/Entremet_s12_BanoffeeVelvet.png,0
8707bc08-2681-55d4-b082-db0931f10109,37d35a0e-3ac5-55c7-9eb5-347de3abda91,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492853/product-image/entremet/Entremet_s16_BanoffeeVelvet.png,1
c1b422c3-b742-559b-b107-c449891d3c7d,1114509d-70fe-5600-a261-e7e105d5f9e2,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492851/product-image/entremet/Entremet_s12_OolongPeach.png,0
fca18aa6-51a7-5fb7-bdaa-76ffd1ddce61,1114509d-70fe-5600-a261-e7e105d5f9e2,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492857/product-image/entremet/Entremet_s16_OolongPeach.png,1
3e755217-be2e-5abc-a216-ca581097edf8,bf113453-758d-559e-ac4e-faf50caa8cfa,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492843/product-image/entremet/Entremet_s12_AvocadoCloud.png,0
2fd6020e-a9f9-593e-b3ed-d7f3c3fcecc1,bf113453-758d-559e-ac4e-faf50caa8cfa,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492852/product-image/entremet/Entremet_s16_AvocadoCloud.png,1
e976f7ce-d233-54dd-8d42-c029ada206cf,001c8b28-7c4e-5017-9f39-7b58f1d3d858,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492849/product-image/entremet/Entremet_s12_MatchaHaze.png,0
1261e1fe-88bc-584e-a96e-f76667227e1e,001c8b28-7c4e-5017-9f39-7b58f1d3d858,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492856/product-image/entremet/Entremet_s16_MatchaHaze.png,1
a214d059-080a-5e82-b222-d5a0db879234,4d6e1898-6341-5a06-95d5-b8cdd8453099,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492847/product-image/entremet/Entremet_s12_BlueberryBloom.png,0
4ddb8c6a-e8e7-5b80-a723-bcca518094c9,4d6e1898-6341-5a06-95d5-b8cdd8453099,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492855/product-image/entremet/Entremet_s16_BlueberryBloom.png,1
53b9d6e9-0e88-5567-b307-bec7fff4fa06,7a395945-b0cb-559d-b4f5-57cd1bf4e3bb,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492927/product-image/mousse/Mousse_StrawberryDream.png,0
07450077-8550-56cd-9047-09cb1d207b66,7a395945-b0cb-559d-b4f5-57cd1bf4e3bb,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492929/product-image/mousse/Mousse_StrawberryDream_cut.png,1
de03dd4e-a534-5e28-8f53-2c9b4baf1766,99310382-f961-57ed-8d52-e2dc08c37ba9,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492922/product-image/mousse/Mousse_MatchaBloom_cut.png,0
c99e7573-dc0b-58fc-bb8f-5f948718203a,c46958de-acd4-5951-a1f3-ad13cbd9400a,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492911/product-image/mousse/Mousse_BlueberryBliss.png,0
edf99ae3-2f8f-5a0f-81ec-c38c86f1f8ad,c46958de-acd4-5951-a1f3-ad13cbd9400a,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492912/product-image/mousse/Mousse_BlueberryBliss_cut.png,1
bc5e6f8c-3b95-5ea5-8088-3884bc56a796,47b73c21-7e3d-5a33-8edf-55f3b5ed8bcd,https://res.cloudinary.com/dhw56qppe/image/upload/v1782492919/product-image/mousse/Mousse_MangoDelight.png,0
